"year","state_code","rating_area","fips_county","county_name","issuer_name","issuer_id"
2017,"CA",9,"06087","Santa Cruz","Blue Cross of California(Anthem BC)",27603
2017,"CA",9,"06087","Santa Cruz","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",9,"06087","Santa Cruz","Health Net Life Insurance Company",99110
2017,"CA",9,"06087","Santa Cruz","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",1,"06089","Shasta","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06089","Shasta","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",1,"06091","Sierra","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06091","Sierra","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",1,"06093","Siskiyou","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06093","Siskiyou","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",2,"06095","Solano","Blue Cross of California(Anthem BC)",27603
2017,"CA",2,"06095","Solano","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",2,"06095","Solano","Health Net Life Insurance Company",99110
2017,"CA",2,"06095","Solano","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",2,"06095","Solano","Western Health Advantage",93689
2017,"CA",2,"06097","Sonoma","Blue Cross of California(Anthem BC)",27603
2017,"CA",2,"06097","Sonoma","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",2,"06097","Sonoma","Health Net Life Insurance Company",99110
2017,"CA",2,"06097","Sonoma","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",2,"06097","Sonoma","Western Health Advantage",93689
2017,"CA",10,"06099","Stanislaus","Blue Cross of California(Anthem BC)",27603
2017,"CA",10,"06099","Stanislaus","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",10,"06099","Stanislaus","Health Net Life Insurance Company",99110
2017,"CA",10,"06099","Stanislaus","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",1,"06101","Sutter","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06101","Sutter","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",1,"06101","Sutter","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",1,"06103","Tehama","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06103","Tehama","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",1,"06105","Trinity","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06105","Trinity","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",10,"06107","Tulare","Blue Cross of California(Anthem BC)",27603
2017,"CA",10,"06107","Tulare","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",10,"06107","Tulare","Health Net Life Insurance Company",99110
2017,"CA",10,"06107","Tulare","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",1,"06109","Tuolumne","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06109","Tuolumne","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",12,"06111","Ventura","Blue Cross of California(Anthem BC)",27603
2017,"CA",12,"06111","Ventura","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",12,"06111","Ventura","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",3,"06113","Yolo","Blue Cross of California(Anthem BC)",27603
2017,"CA",3,"06113","Yolo","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",3,"06113","Yolo","Health Net of California, Inc.",67138
2017,"CA",3,"06113","Yolo","Kaiser Foundation Health Plan, Inc.",40513
2017,"CA",3,"06113","Yolo","Western Health Advantage",93689
2017,"CA",1,"06115","Yuba","Blue Cross of California(Anthem BC)",27603
2017,"CA",1,"06115","Yuba","California Physicians’ Service, dba Blue Shield of California",70285
2017,"CA",1,"06115","Yuba","Kaiser Foundation Health Plan, Inc.",40513
